name,house_resources,sales_count,activity_rate,property_rate,education_rate,plate_rate,search_rate,raise_rate1,raise_rate2,house_count,struct_type,green_rate,volume_rate,admin_money,property_type,build_area,build_count,water,warm,electric,gas,safe,clean,elevator,park,communicate,bus,subway,kindergarten,school,university,mall,hospital,postoffice,bank,else,innersupport,rate_score
风雅钱塘,0.0,0.0,5.0,7.5,5.0,7.5,9.456,1.299,0.893,2306户,板楼,11.0,3.00,1.48元/平米·月,住宅,320000平方米,16栋,杭州市水业集团有限公司,无,杭州市电力局,管道天然气,电子监控,卫生费、垃圾费 装修费,1,地下停车位2000个,宽带入户 水电入户,5.0,1.0,6.0,6.0,4.0,0,5.0,3.0,6.0,6.0,7.0,302.841
三里新城,0.0,0.0,2.5,5.0,5.0,10.0,0.0,1.282,1.084,0,板楼,9.2,1.27,0.70元/平米·月,住宅,0,0,市政供水,自供暖,民用供电,管道燃气 罐装燃气,值班保安,垃圾清运,0,地面停车位500个,移动、联通、电信等,14.0,1.0,8.0,6.0,2.0,0,2.0,1.0,2.0,8.0,5.0,302.78
三塘北村,0.0,0.0,5.0,2.5,7.5,10.0,0.0,1.102,0.946,1194户,板楼,9.0,2.40,1.30元/平米·月,住宅,10021平方米,15栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,自由出入,卫生费、垃圾费,0,200个地面停车位,移动宽带等,5.0,1.0,6.0,6.0,4.0,0,5.0,4.0,5.0,5.0,11.0,299.21
大关西苑,0.0,0.0,5.0,10.0,10.0,10.0,6.846,1.199,1.082,611户,板楼,6.0,2.50,0.50元/平米·月,住宅,63750平方米,20栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气,单元门锁,卫生费、垃圾费,0,地面停车位,移动、联通、电信等,6.0,1.0,4.0,7.0,5.0,0,5.0,6.0,7.0,7.0,1.0,299.066
东海未名园,0.0,0.0,5.0,7.5,5.0,7.5,0.0,1.28,0.989,636户,板塔结合,7.0,2.30,1.40元/平米·月,住宅,70000平方米,18栋,杭州市水业集团有限公司,自供暖,国家电网,管道燃气,电子监控、高级防盗门,卫生费、垃圾费,1,153车位数,宽带入户,4.0,1.0,9.0,7.0,4.0,0,4.0,2.0,4.0,8.0,1.0,291.635
新州花苑,16.0,7.0,5.0,7.5,5.0,7.5,8.012,1.063,1.121,3000户,塔楼,7.0,2.25,0.72元/平米·月,住宅,153562平方米,32栋,杭州滨江水务公司,自供暖,杭州市电力局,管道液化石油气,值班保安,卫生费、垃圾费,1,地面停车位,移动、联通、电信等,5.0,1.0,6.0,7.0,4.0,0,5.0,4.0,1.0,13.0,1.0,291.457
朝晖一区,29.0,29.0,5.0,5.0,5.0,7.5,9.588,1.373,0.913,2032户,板楼,5.0,2.50,0.50元/平米·月,住宅,12000平方米,47栋,杭州市水业集团有限公司,自供暖,国家电网,管道燃气、罐装煤气,单元门锁,卫生费、垃圾费,0,300个车位,移动、联通、电信等,10.0,1.0,5.0,8.0,1.0,0,4.0,3.0,6.0,1.0,1.0,289.513
塘河北村,66.0,20.0,5.0,5.0,5.0,7.5,0.0,1.403,0.82,1192户,板楼,6.0,1.60,1.35元/平米·月,住宅,18000平方米,23栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,106个停车位,移动宽带入户、按套餐收费,6.0,0.0,6.0,7.0,2.0,0,5.0,3.0,4.0,6.0,7.0,284.83
天时苑,0.0,0.0,2.5,5.0,5.0,10.0,0.99,1.068,1.306,518户,板楼,6.0,2.50,2.50元/平米·月,住宅,160000平方米,9栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道燃气、2.4元/立方,电子监控、小区保安,卫生费、垃圾费,0,140个车位,移动、联通、电信等,6.0,0.0,7.0,7.0,2.0,0,5.0,5.0,5.0,5.0,1.0,284.76
彩虹城,0.0,0.0,0.0,0.0,0.0,0.0,3.136,1.049,1.019,3509户,板楼,7.4,2.00,1.44元/平米·月,住宅,469000平方米,45栋,杭州市水业集团有限公司,无,杭州市电力局,管道天然气,远程监控、可视对讲,卫生费、垃圾费,1,停车位1800个,宽带入户,10.0,1.0,4.0,7.0,4.0,0,7.0,2.0,8.0,6.0,2.0,284.311
明月江南,0.0,0.0,5.0,7.5,5.0,7.5,0.0,1.066,0.976,1902户,板楼,6.0,2.50,2.80元/平米·月,住宅,240000平方米,14栋,市供水,无供暖,市供电,天然气,24小时监控,保洁人员,1,共1665个停车位,移动、联通、电信等,1.0,1.0,6.0,4.0,4.0,0,8.0,4.0,5.0,16.0,4.0,282.3
华沙公寓,0.0,0.0,0.0,0.0,0.0,0.0,5.98,0.764,0.897,72户,板楼,6.0,1.70,0,住宅,0,2栋,市供水,自供暖,市政供电,0,0,0,0,地面停车位,移动、联通、电信等,0.0,1.0,9.0,8.0,4.0,0,6.0,2.0,6.0,8.0,1.0,279.075
五福一苑,0.0,0.0,5.0,7.5,5.0,10.0,8.352,1.112,1.13,330户,板楼,2.0,0,0,住宅,0,11栋,市政供水,自供暖,民用供电,管道燃气,电子监控,卫生费、垃圾费,1,有地面停车位,电信、移动、联通等设备,0.0,0.0,7.0,8.0,1.0,0,5.0,3.0,6.0,7.0,1.0,278.922
大关西六苑,0.0,0.0,5.0,10.0,7.5,10.0,5.98,0.992,1.109,732户,板楼,7.0,2.50,0.90元/平米·月,住宅,30000平方米,11栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道燃气、2.4元/立方,电子监控、高级防盗门,0,0,地面停车位,移动、联通、电信等,5.0,0.0,4.0,6.0,2.0,0,4.0,5.0,6.0,6.0,8.0,278.035
大关东三苑,8.0,0.0,2.5,7.5,7.5,10.0,0.0,1.118,1.135,645户,板楼,6.0,0.40,0.50元/平米·月,住宅,112000平方米,12栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道天然气,小区保安,卫生费、垃圾费,0,地上停车位560个,移动宽带等,8.0,0.0,5.0,8.0,1.0,0,4.0,4.0,4.0,6.0,1.0,277.705
翰林花园,3.0,0.0,2.5,2.5,5.0,10.0,5.914,1.17,0.979,1352户,板塔结合,7.0,2.48,1.10元/平米·月,住宅,160000平方米,24栋,杭州市水业集团有限公司,自供暖,国家电网,管道煤气,小区保安,老浙大直路卫生服务站,1,360个停车位,移动、联通、电信等,7.0,1.0,3.0,9.0,1.0,0,5.0,1.0,7.0,2.0,2.0,277.299
月雅苑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244,1.108,350户,板楼,8.120000000000001,1.80,0.40元/平米·月,住宅,24849平方米,16栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气,小区保安 电子监控,卫生费、垃圾费,1,地下124个车位,移动、联通、电信等,1.0,1.0,11.0,7.0,4.0,0,6.0,2.0,1.0,7.0,1.0,276.18
金都花园,16.0,0.0,5.0,7.5,10.0,10.0,4.902,1.261,1.069,681户,板楼,5.6,1.80,0.50元/平米·月,住宅,29062平方米,12栋,市政供水,自供暖,国家电网,管道燃气、罐装煤气,电子监控,小区物业,0,大约有227个停车位,移动、联通、电信等,4.0,2.0,4.0,5.0,2.0,0,5.0,3.0,4.0,6.0,8.0,274.647
大关东十苑,0.0,7.0,5.0,7.5,10.0,10.0,0.0,1.632,0.945,90户,板楼,4.0,2.00,1.00元/平米·月,住宅,0,1栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气,单元门锁,卫生费、垃圾费,0,小区可以划分车位 110元一个月,移动、电信、联通等,4.0,0.0,6.0,6.0,5.0,0,6.0,5.0,3.0,7.0,1.0,273.995
万寿亭公寓,0.0,0.0,2.5,7.5,5.0,7.5,6.022,1.354,1.024,135户,塔楼,5.0,1.00,50.00元/平米·月,住宅,0,4栋,自来水,自供暖,杭州市电力局,管道煤气,电子监控,卫生费、垃圾费,1,停车位充足200,智能化布线入户,7.0,1.0,6.0,6.0,1.0,0,4.0,3.0,5.0,7.0,1.0,272.422
国信嘉园别墅,0.0,0.0,5.0,7.5,5.0,7.5,6.162,1.098,1.238,119户,独栋,9.0,0.69,1.44元/平米·月,别墅,0,75栋,0,0,0,0,0,0,0,860个,0,7.0,1.0,2.0,7.0,5.0,0,3.0,1.0,4.0,4.0,11.0,271.712
逸天广场公寓,38.0,100.0,5.0,7.5,5.0,7.5,9.792,0.628,1.882,2036户,板楼,8.0,1.73,1.80元/平米·月,住宅,170000平方米,20栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道天然气,可视对讲门、带门位系统、高级防盗门,卫生费、垃圾费,1,400个车位,宽带入户,13.0,1.0,3.0,5.0,3.0,0,2.0,1.0,3.0,3.0,9.0,271.302
大关东七苑,0.0,0.0,5.0,7.5,7.5,10.0,5.746,1.061,1.113,504户,板楼,7.0,1.29,0.50元/平米·月,住宅,22000平方米,10栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气,单元门锁,卫生费、垃圾费,1,地面停车位,宽带入户,8.0,0.0,4.0,7.0,4.0,0,4.0,4.0,4.0,6.0,1.0,271.051
科技新村,14.0,36.0,5.0,5.0,5.0,10.0,6.868,1.181,1.024,532户,板楼,4.0,1.70,0.55元/平米·月,住宅,26040平方米,13栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,158个停车位,移动宽带入户、按套餐收费,3.0,1.0,6.0,6.0,1.0,0,6.0,3.0,5.0,7.0,1.0,271.038
中央花城,0.0,0.0,5.0,7.5,5.0,7.5,0.0,1.001,1.132,1342户,塔楼,8.0,2.80,2.00元/平米·月,住宅,220000平方米,9栋,变频供水,无供暖,10KV双路供电,管道液化石油气,绿城物业公司门卫24小时站岗小区巡逻单元门控系统,卫生费、垃圾费,1,1110个车位,移动、联通、电信等,4.0,1.0,4.0,7.0,3.0,0,4.0,3.0,7.0,12.0,1.0,269.99
三塘菊园,0.0,0.0,2.5,5.0,5.0,10.0,7.54,1.304,0.92,368户,板楼,6.0,2.50,0.50元/平米·月,住宅,0,7栋,市政供水,自供暖,民用供电,管道燃气,电子监控,卫生费、垃圾费,1,1,电信、移动、联通等设备,10.0,0.0,6.0,5.0,2.0,0,4.0,5.0,5.0,5.0,1.0,268.88
黄龙公寓,24.0,28.0,5.0,5.0,7.5,10.0,7.816,1.047,0.944,478户,塔楼,6.0,1.30,0.40元/平米·月,住宅,100000平方米,12栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气,电子监控、高级防盗门,0,0,有56个停车位,移动、联通、电信等,11.0,0.0,6.0,6.0,1.0,0,3.0,3.0,2.0,6.0,1.0,266.946
打铁关新村,0.0,0.0,5.0,2.5,5.0,10.0,0.0,1.052,1.124,622户,板楼,7.0,3.20,0.20元/平米·月,住宅,6542平方米,13栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,120个停车位,移动宽带等、按套餐收费,5.0,1.0,7.0,4.0,2.0,0,6.0,6.0,5.0,6.0,1.0,265.88
居安坊,13.0,0.0,5.0,7.5,5.0,7.5,5.64,1.265,0.928,578户,板楼,6.0,2.50,0.50元/平米·月,住宅,5000平方米,13栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道燃气、罐装煤气,值班保安,垃圾清运,0,地面停车位,移动、联通、电信等,3.0,1.0,6.0,6.0,5.0,0,5.0,3.0,3.0,8.0,1.0,264.21
大关东六苑,0.0,0.0,5.0,5.0,7.5,10.0,0.0,1.013,1.149,620户,板楼,6.0,2.00,5.00元/平米·月,住宅,22000平方米,11栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气,单元门锁,卫生费、垃圾费,0,地上200个租价100/月 地下没有,移动、联通、电信等,5.0,0.0,5.0,6.0,3.0,0,4.0,4.0,4.0,7.0,6.0,263.865
国信嘉园,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.197,1.183,802户,板楼,9.0,1.00,2.20元/平米·月,住宅,140000平方米,34栋,杭州市水业集团有限公司,无供暖,杭州市电力局,管道天然气,电子监控,卫生费、垃圾费,1,约300个车位,宽带入户,7.0,1.0,2.0,9.0,5.0,0,3.0,1.0,5.0,4.0,11.0,263.715
香榭商务大厦,8.0,0.0,2.5,7.5,5.0,7.5,6.514,2.417,0.974,108户,板塔结合,6.0,4.00,4.50元/平米·月,住宅,30000平方米,1栋,市政供水,自供暖,民用供电,管道燃气,电子监控,卫生费、垃圾费,1,地面停车位,电信、移动、联通等设备,7.0,1.0,3.0,7.0,1.0,0,4.0,3.0,6.0,2.0,1.0,262.794
大关东五苑,0.0,0.0,5.0,7.5,5.0,7.5,0.0,1.148,1.025,568户,板楼,7.0,1.40,5.00元/平米·月,住宅,19874平方米,12栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,小区可以划分车位 100元/月,移动宽带等,5.0,0.0,4.0,7.0,1.0,0,2.0,5.0,4.0,7.0,10.0,261.855
钱塘春晓,0.0,0.0,5.0,5.0,5.0,7.5,8.37,1.038,1.021,1176户,板塔结合,9.6,2.50,1.45元/平米·月,住宅,80200平方米,22栋,杭州市水业集团有限公司.,自供暖,杭州市电力局.,管道天然气.,严格,卫生费、垃圾费.,1,350个停车位,宽带入户.,6.0,1.0,5.0,3.0,5.0,0,5.0,2.0,7.0,4.0,7.0,261.165
采荷路17号,9.0,0.0,5.0,7.5,5.0,10.0,6.558,1.46,0.855,253户,板楼,3.0,1.60,0.50元/平米·月,住宅,12800平方米,6栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道燃气、罐装煤气,单元门锁,卫生费、垃圾费,0,每月缴纳100元管理费,移动、联通、电信等,14.0,0.0,5.0,4.0,2.0,0,4.0,1.0,5.0,5.0,1.0,260.483
大营盘,33.0,19.0,5.0,7.5,5.0,7.5,9.182,1.183,0.897,277户,板楼,2.0,1.00,0,住宅,65000平方米,4栋,市供水,无供暖,市政供电,管道燃气、罐装煤气,单元门锁,地面清扫,0,450个,移动、联通、电信等,4.0,1.0,6.0,6.0,1.0,0,6.0,1.0,6.0,1.0,1.0,260.467
西城年华,0.0,0.0,5.0,7.5,5.0,10.0,9.178,1.151,0.96,1497户,塔楼,6.0,2.60,1.08元/平米·月,住宅,260000平方米,14栋,祥符水厂水源,自供暖,三墩电力局,管道天然气,三墩派出所西苑社区,物业卫生管理,1,地下200000元/个,中国电信,2.0,0.0,5.0,5.0,3.0,0,6.0,2.0,9.0,7.0,1.0,259.588
朝晖七区,0.0,0.0,5.0,7.5,5.0,7.5,0.0,1.114,1.137,4225户,板楼,7.0,2.00,0.50元/平米·月,住宅,415800平方米,91栋,杭州市水业集团有限公司,自供暖,国家电网,管道燃气、罐装煤气,单元门锁,卫生费、垃圾费,1,800个停车位,移动、联通、电信等,1.0,1.0,6.0,7.0,5.0,0,4.0,4.0,5.0,4.0,2.0,259.195
东方金座,0.0,0.0,5.0,5.0,5.0,10.0,0.0,0.988,0.976,943户,塔楼,2.0,1.70,5.50元/平米·月,住宅,50000平方米,2栋,杭州市水业集团有限公司,大金VRV变频环保空调系统,杭州市电力局,管道燃气,电子监控,卫生费、垃圾费,1,1,移动、联通、电信等,7.0,1.0,5.0,4.0,2.0,0,3.0,5.0,5.0,7.0,10.0,258.52
塘河南村,13.0,4.0,2.5,5.0,5.0,7.5,0.0,1.179,0.931,1227户,板楼,7.0,2.50,1.35元/平米·月,住宅,560000平方米,28栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,地面停车位128个,移动宽带入户、按套餐收费,5.0,0.0,7.0,6.0,3.0,0,4.0,5.0,3.0,8.0,1.0,257.755
嘉绿北苑,0.0,0.0,5.0,7.5,7.5,10.0,0.0,1.161,1.049,968户,板楼,7.6,1.50,0.70元/平米·月,住宅,357000平方米,17栋,市供水,自供暖,杭州市电力局、民用、6毛不到,管道燃气 罐装燃气,单元门锁,卫生费、垃圾费,0,露天停车位共500个,移动、联通、电信等,6.0,1.0,5.0,7.0,1.0,0,3.0,3.0,3.0,5.0,1.0,255.945
三里亭东苑,0.0,0.0,5.0,7.5,5.0,10.0,0.0,1.676,0.978,130户,板楼,7.0,2.50,1.50元/平米·月,住宅,0,130栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气、罐装煤气,单元门锁,卫生费、垃圾费,0,1,移动、联通、电信等,7.0,1.0,7.0,4.0,1.0,0,4.0,3.0,3.0,6.0,1.0,255.93
广厦檀香园,3.0,0.0,2.5,5.0,5.0,10.0,0.0,0.919,1.173,616户,塔楼,5.0600000000000005,2.80,1.90元/平米·月,住宅,39140平方米,5栋,杭州市水业集团有限公司,自供暖,国家电网,管道燃气,已送,卫生费、垃圾费,1,418个车位,移动、联通、电信等,9.0,0.0,3.0,7.0,1.0,0,6.0,2.0,5.0,3.0,1.0,255.345
长乐南苑,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.811,0.911,318户,板楼,0.288,1.00,1.50元/平米·月,住宅,0,16栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,地面停车位,移动、联通、电信,3.0,0.0,5.0,7.0,5.0,0,6.0,6.0,5.0,7.0,1.0,255.063
凤亭院,2.0,4.0,2.5,5.0,5.0,7.5,5.796,1.598,0.949,276户,板楼,4.0,2.30,1.20元/平米·月,住宅,125000平方米,5栋,市供水,自供暖,市政供电,管道燃气 罐装燃气,值班保安,垃圾清运,0,地面停车位,移动、联通、电信等,10.0,0.0,5.0,7.0,3.0,0,3.0,1.0,4.0,2.0,1.0,255.011
三塘桃园,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.946,702户,板楼,6.0,3.50,0.36元/平米·月,住宅,0,16栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道天然气,单元门锁,卫生费、垃圾费,0,地面停车位,有线、宽带、电话,12.0,1.0,5.0,6.0,2.0,0,4.0,5.0,4.0,6.0,1.0,254.49
大关东二苑,9.0,2.0,2.5,5.0,5.0,10.0,7.774,1.043,1.151,636户,板楼,1.0,1.20,0.50元/平米·月,住宅,335800平方米,12栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,小区可以划分车位 100元/月地面车位,移动宽带入户、按不同套餐收费,7.0,1.0,5.0,6.0,2.0,0,3.0,5.0,4.0,6.0,1.0,253.969
大关东一苑,13.0,4.0,5.0,5.0,5.0,10.0,8.068,1.043,1.147,850户,板楼,1.1199999999999999,1.20,0.50元/平米·月,住宅,60000平方米,19栋,杭州市水业集团有限公司、民用、1.85元/吨,无,杭州市电力局、民用、6毛不到,管道燃气 罐装燃气,单元门锁,卫生费、垃圾费,0,100元有可续车位,移动宽带入户、按不同套餐收费,8.0,1.0,3.0,7.0,4.0,0,3.0,4.0,3.0,6.0,1.0,251.823
大关西八苑,0.0,0.0,5.0,7.5,5.0,10.0,0.0,1.061,1.077,438户,板楼,6.0,2.50,1.50元/平米·月,住宅,22000平方米,10栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气,单元门锁,卫生费、垃圾费,0,100个,移动、联通、电信等,8.0,0.0,5.0,5.0,3.0,0,3.0,5.0,6.0,7.0,1.0,251.265
朝晖四区,33.0,16.0,5.0,7.5,5.0,7.5,9.208,1.206,1.088,2508户,板楼,6.0,2.00,0.50元/平米·月,住宅,108000平方米,51栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气、罐装煤气,单元门锁,卫生费、垃圾费,0,700个,移动、联通、电信等,1.0,1.0,5.0,6.0,1.0,0,5.0,3.0,4.0,7.0,1.0,250.588
康乐新村,5.0,11.0,2.5,5.0,5.0,10.0,5.334,1.154,1.077,1148户,板楼,4.0,3.00,0.45元/平米·月,住宅,5396平方米,22栋,市供水,自供暖,市供电,管道燃气,单元门锁,卫生费、垃圾费,0,无地下停车位,移动、联通、电信等,8.0,1.0,5.0,4.0,1.0,0,6.0,3.0,3.0,5.0,1.0,249.529
温馨人家,18.0,2.0,5.0,5.0,5.0,7.5,7.122,1.173,1.001,1688户,板塔结合,8.0,3.80,1.05元/平米·月,住宅,230000平方米,24栋,杭州市水业集团有限公司滨江分公司.,自供暖,杭州市滨江电力局.,天然气管道.,电子监控、高级防盗门.,卫生费、垃圾费.,1,地面停车位180个地下1600个.,电信华数电视入户.,4.0,1.0,5.0,4.0,3.0,0,5.0,3.0,4.0,11.0,1.0,248.367
春天花园,5.0,6.0,5.0,5.0,5.0,10.0,5.154,1.13,1.033,658户,板楼,6.0,1.65,1.00元/平米·月,住宅,12000平方米,18栋,自来水,自供暖,杭州市电力局,管道燃气,电子监控,卫生费、垃圾费,0,地面停车位,电信、移动、联通等设备,12.0,1.0,3.0,4.0,1.0,0,5.0,3.0,6.0,1.0,1.0,246.949
兴财名都苑,4.0,4.0,5.0,2.5,5.0,7.5,4.704,1.042,1.126,270户,板楼,6.4,2.00,2.00元/平米·月,住宅,50000平方米,4栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气,单元门锁,卫生费、垃圾费,1,车位配比大致为1,移动、联通、电信等,12.0,0.0,6.0,4.0,3.0,0,5.0,1.0,1.0,3.0,1.0,246.414
柳营社区,0.0,0.0,2.5,7.5,5.0,10.0,7.122,1.518,1.004,0,板楼,6.0,1.50,0.50元/平米·月,住宅,0,0,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气,单元门锁,0,0,地下、地面停车位,移动、联通、电信等,16.0,0.0,1.0,4.0,1.0,0,4.0,1.0,7.0,4.0,1.0,243.362
保利东湾,0.0,0.0,2.5,7.5,7.5,10.0,0.0,1.123,1.019,4252户,塔楼,7.0,2.09,1.44元/平米·月,住宅,685000平方米,22栋,杭州自来水公司,自供暖,国家电网杭州分公司,钱江燃气有限公司,24小时安保值班 每一幢都有生活管家,小区专有保洁人员保洁,1,地下车位配比1,移动、联通、电信等,0.0,0.0,4.0,10.0,2.0,0,3.0,1.0,4.0,5.0,1.0,243.015
万家花园家和苑,0.0,0.0,2.5,7.5,5.0,10.0,0.0,1.122,1.094,1874户,板楼,8.2,1.59,1.50元/平米·月,住宅,0,18栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气、罐装煤气,单元门锁,卫生费、垃圾费,0,1,移动、联通、电信等,4.0,1.0,8.0,4.0,1.0,0,3.0,3.0,4.0,6.0,1.0,242.83
三塘南村,0.0,0.0,5.0,2.5,5.0,10.0,0.99,1.36,0.872,712户,板塔结合,7.6,1.70,1.35元/平米·月,住宅,0,16栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道天然气,电子监控,卫生费、垃圾费,0,地上停车位,移动宽带等,8.0,1.0,7.0,5.0,2.0,0,2.0,5.0,3.0,1.0,1.0,242.77
